dist_type,hist_type,num_bins,correct,recog_rate
intersect,rgb,30,71,0.797752808988764
l2,dxdy,10,17,0.19101123595505617
intersect,dxdy,50,46,0.5168539325842697
intersect,rgb,15,81,0.9101123595505618
l2,grayvalue,30,30,0.33707865168539325
l2,dxdy,5,17,0.19101123595505617
chi2,rg,10,69,0.7752808988764045
intersect,dxdy,30,36,0.4044943820224719
intersect,rgb,10,71,0.797752808988764
l2,grayvalue,15,37,0.4157303370786517
l2,rg,50,31,0.34831460674157305
chi2,rg,5,73,0.8202247191011236
intersect,dxdy,15,21,0.23595505617977527
intersect,rgb,5,72,0.8089887640449438
l2,grayvalue,10,32,0.3595505617977528
l2,rg,30,35,0.39325842696629215
chi2,rgb,50,69,0.7752808988764045
intersect,dxdy,10,18,0.20224719101123595
intersect,grayvalue,50,36,0.4044943820224719
l2,grayvalue,5,40,0.449438202247191
l2,rg,15,55,0.6179775280898876
chi2,rgb,30,72,0.8089887640449438
chi2,rg,15,79,0.8876404494382022
intersect,dxdy,5,18,0.20224719101123595
intersect,grayvalue,30,40,0.449438202247191
chi2,dxdy,50,56,0.6292134831460674
l2,rg,10,46,0.5168539325842697
chi2,rgb,15,82,0.9213483146067416
intersect,rg,50,65,0.7303370786516854
chi2,grayvalue,5,45,0.5056179775280899
intersect,grayvalue,15,45,0.5056179775280899
chi2,dxdy,30,45,0.5056179775280899
l2,rg,5,58,0.651685393258427
chi2,rgb,10,72,0.8089887640449438
intersect,rg,30,68,0.7640449438202247
intersect,grayvalue,10,42,0.47191011235955055
chi2,dxdy,15,26,0.29213483146067415
l2,rgb,50,29,0.3258426966292135
chi2,rgb,5,79,0.8876404494382022
intersect,rg,15,75,0.8426966292134831
intersect,grayvalue,5,43,0.48314606741573035
chi2,dxdy,10,17,0.19101123595505617
l2,rgb,30,33,0.3707865168539326
chi2,grayvalue,50,45,0.5056179775280899
l2,grayvalue,50,30,0.33707865168539325
chi2,dxdy,5,17,0.19101123595505617
l2,rgb,15,55,0.6179775280898876
l2,dxdy,50,35,0.39325842696629215
chi2,grayvalue,30,46,0.5168539325842697
intersect,rg,10,64,0.7191011235955056
intersect,rg,5,65,0.7303370786516854
l2,dxdy,30,31,0.34831460674157305
chi2,rg,50,67,0.7528089887640449
l2,rgb,10,49,0.550561797752809
chi2,grayvalue,15,51,0.5730337078651685
chi2,grayvalue,10,47,0.5280898876404494
l2,dxdy,15,19,0.21348314606741572
chi2,rg,30,69,0.7752808988764045
l2,rgb,5,62,0.6966292134831461
intersect,rgb,50,66,0.7415730337078652
